hero,degree_centrality,betweenness_centrality,pagerank,num_connections
BANSHEE/SEAN CASSIDY,0.08271028037383178,0.004825845666084899,0.0019626992516723124,531
MOCKINGBIRD/DR. BARB,0.082398753894081,0.0021639531450883005,0.0014245887013638182,529
SPEEDBALL/ROBBIE BAL,0.08208722741433022,0.004696061246454683,0.001425006184449106,527
TIGRA/GREER NELSON,0.08193146417445483,0.0019693403624908602,0.001544387094341486,526
"NELSON, FRANKLIN FOG",0.08006230529595015,0.0059861201795902205,0.0017155988830604354,514
JUSTICE II/VANCE AST,0.07943925233644861,0.0036539097873728894,0.0014720405783054213,510
"PARKER, MAY",0.07866043613707166,0.005374894133863481,0.0026386580143841665,505
"DUGAN, TIMOTHY ALOYI",0.07850467289719626,0.006334259061751986,0.0014923510683167293,504
DR. DRUID/ANTHONY LU,0.07694704049844237,0.0023242877342249265,0.001061024383324571,494
IRON MAN IV/JAMES R.,0.07663551401869159,0.00693364846804207,0.0017892641343968164,492
FORGE,0.07663551401869159,0.0026747940473840753,0.0013120317281688186,492
PUNISHER II/FRANK CA,0.07585669781931464,0.018805341802875533,0.0018922806245398839,487
"MASTERS, ALICIA REIS",0.07429906542056075,0.0033053792195495693,0.0014031743830848693,477
KINGPIN/WILSON FISK,0.07336448598130842,0.006336159037877935,0.0017576554402706033,471
"MACTAGGERT, MOIRA KI",0.07305295950155763,0.0022014204497804836,0.0015678805366778014,469
CAPTAIN BRITAIN/BRIA,0.07305295950155763,0.0067187997169527855,0.0013576131610991205,469
STARFOX/EROS,0.0721183800623053,0.0017792375263550706,0.0012501906838953266,463
MEDUSA/MEDUSALITH AM,0.0721183800623053,0.0024633604621087236,0.0014445786384258443,463
THUNDERBIRD II/JAMES,0.07196261682242991,0.004783334577230364,0.0014482668864576496,462
BLACK BOLT/BLACKANTO,0.07180685358255452,0.0024579284570277744,0.001336226891947971,461
KARNAK [INHUMAN],0.07149532710280374,0.002483315127762172,0.0013041375003357812,459
SASQUATCH/WALTER LAN,0.07133956386292835,0.002579501637638334,0.0016170570316685056,458
GORGON [INHUMAN],0.07071651090342679,0.0023303407885923565,0.001326793347564657,454
BOOMER/TABITHA SMITH,0.07071651090342679,0.004719373675543125,0.0019005042321266709,454
WONG,0.0705607476635514,0.005248790343923678,0.001343993659548898,453
JUBILEE/JUBILATION L,0.07040498442367601,0.005390401302987667,0.0017335508570266466,452
POWER MAN/ERIK JOSTE,0.07040498442367601,0.0026209865058890312,0.0011123561357247725,452
BEETLE/ABNER RONALD,0.06993769470404984,0.002870987149142526,0.0010964466412623686,449
MOON KNIGHT/MARC SPE,0.06978193146417445,0.006205301712732272,0.0013799556973790531,448
"LEEDS, BETTY BRANT",0.0693146417445483,0.0033250224132035182,0.0020290544454466437,445
LOKI [ASGARDIAN],0.06869158878504673,0.002111802955321318,0.0014862019255451292,441
BLOB/FRED J. DUKES,0.06869158878504673,0.002297051445346762,0.0009666505448211115,441
MIRAGE II/DANIELLE M,0.06853582554517135,0.004348804449774032,0.001572164460927706,440
ODIN [ASGARDIAN],0.06806853582554517,0.002734107286193228,0.0018245126380834885,437
TRITON,0.06744548286604361,0.0021369338402292748,0.0011455743866009645,433
SCREAMING MIMI/MELIS,0.06728971962616823,0.002544416136598708,0.0010723926006684968,432
MOONSTONE II/KARLA S,0.06682242990654205,0.0022890868441160775,0.0010768766627181094,429
SPIDER-WOMAN II/JULI,0.06635514018691589,0.002278785569649645,0.001258998030330295,426
SHAMAN/MICHAEL TWOYO,0.0661993769470405,0.001876664371949173,0.0012548900976656924,425
NORTHSTAR/JEAN-PAUL,0.06542056074766356,0.002573160939780074,0.0012120024533282306,420
"GYRICH, HENRY PETER",0.06526479750778816,0.0034019120664164795,0.0008640887555054098,419
ANT-MAN II/SCOTT HAR,0.06526479750778816,0.0021506273035074453,0.0009525466191446048,419
"URICH, BEN",0.06510903426791277,0.00311298460217783,0.0013803388371845151,418
PHOENIX III/RACHEL S,0.064797507788162,0.0028981173257414256,0.0011525684545764137,416
LOCKJAW [INHUMAN],0.06355140186915888,0.0020664031646496495,0.001046654630138168,408
FANDRAL [ASGARDIAN],0.06339563862928349,0.0018821583602316363,0.0015201134553077002,407
AURORA/JEANNE-MARIE,0.0632398753894081,0.002034909629333684,0.0010873204523690115,406
MYSTIQUE/RAVEN DARKH,0.06292834890965732,0.00220701632625788,0.001022049895765777,404
NIGHT THRASHER/DUANE,0.06292834890965732,0.002902139625252195,0.0010215149910146686,404
GALACTUS/GALAN,0.06261682242990654,0.002212373732417233,0.0013219675667071654,402
PHARAOH RAMA-TUT,0.06246105919003116,0.0016948666289066628,0.0010610863944102052,401
WHITE QUEEN/EMMA FRO,0.06246105919003116,0.004375243398891889,0.0012578304572651927,401
HOGUN [ASGARDIAN],0.06230529595015576,0.0017872423580669145,0.0015194810545297323,400
MEPHISTO,0.061526479750778816,0.003962667394774547,0.0008792575821267999,395
"HUDSON, HEATHER",0.061526479750778816,0.003328979112092128,0.0016041390204981003,395
"NORRISS, SISTER BARB",0.06137071651090343,0.0015849325709027162,0.0014546448050845656,394
SANDMAN/WILLIAM BAKE,0.06121495327102804,0.0019498913070118955,0.0010032688760670957,393
"THOMPSON, EUGENE FLA",0.06105919003115265,0.002524757748769795,0.0018790519439287256,392
SIF,0.0602803738317757,0.001942007625983097,0.0015366128594487133,387
DAZZLER II/ALLISON B,0.059190031152647975,0.001761311889295379,0.001019190047917157,380
SUNFIRE/SHIRO YOSHID,0.05903426791277259,0.00324704351215242,0.0007441297357632351,379
SIRYN/THERESA ROURKE,0.05903426791277259,0.0030705435146559175,0.0011728447314822228,379
THANOS,0.05841121495327103,0.00274757468139875,0.0010653257212341217,375
PUCK/EUGENE MILTON J,0.057788161993769474,0.0032636936269447377,0.0013344617002653395,371
ENCHANTRESS/AMORA/HE,0.057476635514018694,0.0015627661563673001,0.0011244498539352103,369
HIGH EVOLUTIONARY/HE,0.057476635514018694,0.0026585747204491313,0.0007169925254885585,369
BISHOP /,0.05685358255451713,0.006162064591328919,0.0012907383402031138,365
HELLCAT/PATSY WALKER,0.05685358255451713,0.001899618679658459,0.0011494086406722357,365
LILANDRA NERAMANI [S,0.05654205607476636,0.00112980224041324,0.0009782015647500524,363
LIVING LIGHTNING/MIG,0.056386292834890966,0.0014578192648645352,0.0010539911582210233,362
"HARKNESS, AGATHA",0.0559190031152648,0.0008191257383811861,0.000905048375739434,359
BALDER [ASGARDIAN],0.0559190031152648,0.0016240797151355216,0.0015245294172693113,359
VOLSTAGG,0.05560747663551402,0.0014395997677318988,0.001476619002281021,357
DARKHAWK/CHRIS POWEL,0.05545171339563863,0.003603896123890447,0.0009993990905901957,356
KA-ZAR/KEVIN PLUNDER,0.05545171339563863,0.001978624049886022,0.0008849481286557596,356
SPIDER-MAN CLONE/BEN,0.05529595015576324,0.009001916873247586,0.0014938519709968908,355
"BANNER, BETTY ROSS T",0.054672897196261686,0.003112520006233856,0.0014641200057870297,351
"OSBORN, LIZ ALLAN",0.05420560747663552,0.001674939254519352,0.0011972468496461502,348
HUMAN TORCH ANDROID/,0.053738317757009345,0.0020859423083559297,0.00102027541762344,345
CITIZEN V II/HELMUT,0.05249221183800623,0.0019527738285527627,0.0007312833442112228,337
"ROSS, GEN. THADDEUS",0.05249221183800623,0.0025424547803864347,0.0011830382816358355,337
"CARTER, PEGGY",0.05249221183800623,0.0010225583422401525,0.0006719495618027135,337
"KNIGHT, MISTY",0.052336448598130844,0.0022513131075258684,0.0009131264685299015,336
MOLE MAN/HARVEY RUPE,0.05218068535825545,0.001451010233685311,0.0006364300392890777,335
DARKSTAR/LAYNIA SERG,0.052024922118380064,0.0008112824829060356,0.0005769435880135392,334
DOMINO III/BEATRICE/,0.05186915887850468,0.002582765896124136,0.0009099040637112056,333
JACK OF HEARTS/JACK,0.051713395638629284,0.0016460053156440312,0.0006153257151788002,332
LOCKHEED,0.0515576323987539,0.0007777097898296834,0.0009562067122183887,331
STRONG GUY/GUIDO CAR,0.05093457943925234,0.0007469453816337663,0.001047673281019406,327
MEGGAN,0.05093457943925234,0.0012886430514035465,0.0010057716418846875,327
JUGGERNAUT/CAIN MARK,0.05077881619937695,0.0015379079646953718,0.0005735884751827179,326
MULTIPLE MAN/JAMES A,0.05031152647975078,0.001119518334614733,0.0009036814834256924,323
CYPHER/DOUG RAMSEY,0.05015576323987539,0.0016548875682808307,0.000984509354745688,322
ETERNITY/ADAM QADMON,0.04937694704049844,0.0005612729249093866,0.0005975606896660979,317
"JAMESON, COL. JOHN",0.049221183800623056,0.0016695492757301475,0.0009316260500656876,316
RHINO,0.049221183800623056,0.00166600967074702,0.0005166164937198609,316
WARLOCK III,0.048598130841121495,0.0010645666399626955,0.0010262018789336778,312
"PAGE, KAREN",0.04828660436137072,0.0031404267855925402,0.0010255206311839953,310
BLACK KING/SEBASTIAN,0.04781931464174455,0.0022824182920246953,0.0006232388931942294,307
DOC SAMSON/DR. LEONA,0.04766355140186916,0.0015746125203019929,0.0008994602908113131,306
PYRO/ALLERDYCE JOHNN,0.04766355140186916,0.0010859048802436561,0.0006321968727886771,306
DRAX/ARTHUR DOUGLAS,0.047507788161993775,0.0010977329288109343,0.0009332679257140902,305
MAKKARI/MIKE KHARY/I,0.047507788161993775,0.0018546256733717253,0.0007872468261511472,305
BLACK CAT/FELICIA HA,0.047507788161993775,0.001865271273142867,0.0008414771794428119,305
GUARDIAN/JAMES MACDO,0.047507788161993775,0.0016274268140384453,0.0006580323747970537,305
GREEN GOBLIN/NORMAN,0.04735202492211838,0.001805296606925479,0.0008549280347984502,304
MS. MARVEL II/SHARON,0.04735202492211838,0.0005869707193905499,0.0005792268687600638,304
WARLOCK II/ADAM WARL,0.04735202492211838,0.0009216792418505832,0.0008621006175028576,304
"TILBY, TRISH/PATRICI",0.047196261682242995,0.0013008972013234092,0.0006352613814522303,303
NOVA II/FRANKIE RAYE,0.0470404984423676,0.0012475724876888018,0.0007846515943009365,302
PALADIN/PAUL DENNIS,0.04672897196261683,0.0013147487589409946,0.0004375318142385894,300
SPIDER-WOMAN/JESSICA,0.04641744548286605,0.002392839382950598,0.0007135106672352066,298
GHOST RIDER III/DAN,0.04610591900311527,0.007565498254230997,0.0010986439417602705,296
FIXER II/PAUL NORBER,0.04610591900311527,0.0013758892042612058,0.0007315109067918555,296
"GRANT, GLORIA GLORY",0.04595015576323988,0.0012796441433038748,0.0009704410175011451,295
HELA [ASGARDIAN],0.04595015576323988,0.0010742338681210884,0.0005764468597734143,295
MAGIK/ILLYANA RASPUT,0.04548286604361371,0.0005598243098031458,0.001003260516840231,292
SHANNA/SHANNA O'HARA,0.04501557632398754,0.003480557505640595,0.0006873896353195338,289
"O'BRIEN, MICHAEL",0.04501557632398754,0.00048004966252420246,0.0005273706090078566,289
ELECTRO/MAX DILLON,0.04501557632398754,0.001010990308403427,0.0005166563463822711,289
DEATH,0.04485981308411215,0.0005770493641189937,0.0004753084831054824,288
JOLT/HALLIE TAKAHAMA,0.04454828660436137,0.0011157591095404048,0.0007142807957590638,286
STINGRAY/DR. WALTER,0.04454828660436137,0.000612687207978287,0.0005258139689195255,286
"WATSON, ANNA",0.044392523364485986,0.001206247911582624,0.0010721094020310718,285
AVALANCHE/DOMINIC PE,0.04423676012461059,0.0009406767144039956,0.0005573212139202267,284
VANGUARD/NICOLAI KRY,0.04423676012461059,0.0004808787395241386,0.0004556226875810742,284
"BRIDGE, GEORGE WASHI",0.04392523364485981,0.0029734547176119303,0.0006586713468604082,282
RAGE/ELVIN DARYL HAL,0.04392523364485981,0.0012266369460804782,0.0007376860277909746,282
TOAD/MORTIMER TOYNBE,0.043769470404984426,0.0006179223170437544,0.000547234235975155,281
APOCALYPSE/EN SABAH,0.043769470404984426,0.001203844505755381,0.0007790168161771888,281
ABSORBING MAN/CARL C,0.04330218068535826,0.0009406951161196279,0.0006208241639812449,278
CLOAK/TYRONE JOHNSON,0.04330218068535826,0.002472945244744232,0.0007230690032706622,278
SABRETOOTH/VICTOR CR,0.043146417445482865,0.0011537102688520377,0.0006091813891268101,277
HELLSTORM/DAIMON HEL,0.043146417445482865,0.004289096439499161,0.0007941175995793959,277
GHOST RIDER II/JOHNN,0.0426791277258567,0.00446595937930469,0.0009403205179324215,274
ZABU,0.0426791277258567,0.001495485599747481,0.0007071788702282358,274
"KINCAID, DR. JANE FO",0.04221183800623053,0.000873732541840379,0.0007397408925146154,271
KLAW/ULYSSES KLAW,0.042056074766355145,0.0008512414884189446,0.0005970366213569503,270
REDWING,0.042056074766355145,0.0005092184784482217,0.0005918907390279012,270
GEE/ALEX POWER,0.042056074766355145,0.001512461112065286,0.0008304069132727869,270
"OSBORN, HARRY",0.042056074766355145,0.0008759237245711748,0.001229808950558928,270
"DE LA FONTAINE, CONT",0.04190031152647975,0.001151605738200811,0.0006425167839522363,269
"CARTER, SHARON",0.04158878504672897,0.0016025598426680113,0.0008253955980148243,267
"HOGAN, VIRGINIA PEPP",0.0412772585669782,0.0012566710565099755,0.0007648100466634291,265
HEIMDALL [ASGARDIAN],0.041121495327102804,0.0006732682524009718,0.0009043310618272655,264
GARGOYLE II/ISAAC CH,0.041121495327102804,0.0014053112912783819,0.0007580714117828547,264
IKARIS/IKE HARRIS [E,0.040809968847352024,0.00109689757020613,0.0005714845986615747,262
MACHINE MAN/X-51,0.040809968847352024,0.000833926612996153,0.0005549827244451873,262
CONSTRICTOR/FRANK PA,0.040809968847352024,0.001162548406641288,0.00042779366335511367,262
"SUMMERS, MADELYNE MA",0.040809968847352024,0.0017213869491460114,0.0007294935452466613,262
SILHOUETTE,0.04065420560747664,0.0009078511008281329,0.0006318121425043584,261
LYJA LAZERFIST [SKRU,0.04034267912772586,0.00048691154311442943,0.0007588501999361923,259
CAPTAIN MARVEL/CAPTA,0.04034267912772586,0.0005388121908099327,0.0006692428603198154,259
NIGHTHAWK II/KYLE RI,0.04018691588785047,0.0005850863556139375,0.0008879648113569716,258
"JAMESON, MARLA MADIS",0.04018691588785047,0.0013810047120111483,0.0006877334057189431,258
X-MAN/NATHAN GREY,0.04018691588785047,0.008888124867662684,0.0009118937718517455,258
RED SKULL/JOHANN SCH,0.039719626168224303,0.0012591347361860438,0.0007142591033701424,255
DAGGER/TANDY BOWEN,0.03956386292834891,0.0025128163991571407,0.0007536946441906447,254
LUNA/LUNA MAXIMOFF [,0.03940809968847352,0.0006169211971510809,0.0004935304748910629,253
TITANIA II/MARY SKEE,0.03940809968847352,0.00047627217904515004,0.0004906110195183782,253
CLEA,0.03925233644859813,0.0021529704072208774,0.0010523649630335794,252
WILD CHILD/KYLE GIBN,0.038940809968847356,0.0008746463458586473,0.0006600830392916406,250
WIZARD/BENTLEY WITTM,0.03847352024922118,0.00033492482658017606,0.0004968059126637571,247
PUPPET MASTER/PHILLI,0.03847352024922118,0.0005731451637042449,0.0004598326159930467,247
"HOGAN, HAROLD J. HAP",0.038317757009345796,0.0011500393769591866,0.0006974823255725207,246
DR. OCTOPUS/OTTO OCT,0.038317757009345796,0.0008514115855323256,0.0008523676376563311,246
VIPER II,0.03816199376947041,0.0010559877434000206,0.0004287046401280247,245
TURBO II (A)/MICHIKO,0.038006230529595016,0.0011732069657374058,0.0005844930334634405,244
DIAMONDBACK II/RACHE,0.038006230529595016,0.0005773516505703371,0.0006465609267554157,244
SNOWBIRD/NARYA/ANNE,0.038006230529595016,0.0004298589112876166,0.0005481209065141377,244
MARROW/SARAH,0.037694704049844235,0.0008350070605044209,0.000715202008355057,242
"SITWELL, JASPER",0.037694704049844235,0.0010905805801372287,0.0005728103840579972,242
"ROM, SPACEKNIGHT",0.03753894080996885,0.004568392666399059,0.0006870754200443841,241
DAYTRIPPER/AMANDA SE,0.03738317757009346,0.0007996214997684993,0.0005249492729654235,240
THENA,0.03738317757009346,0.0008652164259415322,0.0006069428933207555,240
"WING, COLLEEN",0.03738317757009346,0.0014176844937961854,0.000698458072907703,240
MANDARIN,0.03722741433021807,0.0008342153245094268,0.0005272207386387408,239
SUPREME INTELLIGENCE,0.03707165109034268,0.0005726425742960179,0.00041200910080267477,238
BETA RAY BILL,0.03707165109034268,0.0013016330535041776,0.00048211880702535845,238
COBRA/KLAUS VORHEES,0.03691588785046729,0.0005017367217533204,0.0004383173907179546,237
DESTINY II/IRENE ADL,0.03691588785046729,0.0005696913426524644,0.0004634378742574907,237
TRAPSTER/PETER PETRU,0.0367601246105919,0.0004294854674445534,0.00041868047574626616,236
LONGSHOT,0.0367601246105919,0.0030528458172491397,0.0006990894308255605,236
BOOMERANG/FRED MYERS,0.0367601246105919,0.0005010952436962149,0.0003773048561729399,236
BEYONDER,0.0367601246105919,0.0004330335307897337,0.00038581611910948755,236
HUSK/PAIGE GUTHRIE,0.036604361370716515,0.0016261540245689741,0.0007945831592014901,235
RICTOR/JULIO ESTEBAN,0.036604361370716515,0.000511794215339858,0.0008814297144909456,235
PIP/PRINCE GOFERN,0.036604361370716515,0.0004687756369169308,0.0006081038824388306,235
EXECUTIONER II/SKURG,0.03644859813084112,0.00031709151086266476,0.0003941992587163703,234
CITIZEN V III/DALLAS,0.03644859813084112,0.0007858104804249586,0.0005433322048842321,234
RED GHOST/IVAN KRAGO,0.036292834890965735,0.0006415551434685057,0.0003106669503694663,233
SHATTERSTAR II/GAVEE,0.036292834890965735,0.0005508511646718629,0.0007080333263637039,233
GAMORA,0.036292834890965735,0.0003419425080267834,0.0006020979795301469,233
CHARCOAL/CHARLIE BUR,0.035981308411214954,0.0005610958789311885,0.000577548309086398,231
"MADDICKS, ARTHUR ART",0.03582554517133957,0.00091656697461357,0.0006365055583591264,230
"JONES, GABE",0.03582554517133957,0.0006627820285398734,0.0005975470046095039,230
MAGMA/AMARA AQUILLA/,0.035669781931464174,0.0004947107890928119,0.0006389760114843684,229
WRECKER III/DIRK GAR,0.03551401869158879,0.0003623524115496519,0.0005907758874541772,228
SKIN/ANGELO ESPINOSA,0.03551401869158879,0.0015950849912519072,0.0007931511777573839,228
SABRA/RUTH BAT-SERAP,0.03551401869158879,0.0006324754943634426,0.0003276839537398719,228
TORPEDO III/BROCK JO,0.03520249221183801,0.00078679006421725,0.0004270334750833036,226
GLADIATOR II,0.03520249221183801,0.0006815541978408097,0.0004093807424612244,226
PEATOR,0.03504672897196262,0.00026184139962107437,0.0002984334899781742,225
CARGIL/JOANNA CARGIL,0.03504672897196262,0.00040218225053486467,0.00040350927826305905,225
"BALLANTINE, KAYLA",0.03504672897196262,0.0008533636510284801,0.0004246668064592115,225
JOCASTA,0.03504672897196262,0.0007107212854786079,0.000524497325549658,225
MIKHLO,0.03473520249221184,0.00023159905195795614,0.0002892413833595454,223
IGOR,0.03473520249221184,0.00023159905195795614,0.0002892413833595454,223
THINKER,0.03473520249221184,0.0007025814767651158,0.00036805083650073936,223
ZEUS,0.03457943925233645,0.0006175095728668861,0.00040892888171978337,222
CALIBAN/,0.03442367601246106,0.0005192261561350608,0.0006483285685984475,221
SPIRAL,0.034267912772585674,0.0009437098564759941,0.0004494687981939509,220
FIREFIST/RUSTY COLLI,0.034267912772585674,0.00026889194068537237,0.000572783173975805,220
COUNTERWEIGHT II/KAT,0.03411214953271028,0.0007038313574009978,0.0005564963917923731,219
HYDROMAN/MORRIE BENC,0.03411214953271028,0.00040608919559146175,0.0003796637047112342,219
ATTUMA,0.03364485981308411,0.00035495040245955286,0.00036972596865959156,216
SYNCH/EVERETT THOMAS,0.03364485981308411,0.0013929114557614066,0.0007267206961286438,216
LEECH,0.033489096573208726,0.0007722557199490126,0.0005953168765705174,215
WHIPLASH/MARK SCARLO,0.03333333333333333,0.000881021544765267,0.0003541321578111771,214
FIREBIRD/BONITA JUAR,0.03333333333333333,0.00019446171749961378,0.00044577289181388667,214
BARON STRUCKER/WOLFG,0.033177570093457946,0.0021571348032154245,0.00048184105776661777,213
"KELLY, SEN. ROBERT E",0.03302180685358255,0.0003383154433107113,0.00034661465514493675,212
THUNDERBALL/DR. ELIO,0.03302180685358255,0.0003348526432183523,0.0005924595915279259,212
CHAMBER/JONOTHON STA,0.032866043613707166,0.001514163628754798,0.0007794978722994231,211
KARMA/XI'AN COY MANH,0.03271028037383178,0.00029800262223101585,0.000535161217686026,210
VASHTI,0.03271028037383178,0.0007109738263042927,0.00048222761293807617,210
WHIZZER/ROBERT L. FR,0.032554517133956386,0.0005272895017785675,0.0003744562393901026,209
GRANDMASTER/EN DWI G,0.032554517133956386,0.0006337907233166704,0.0003173828574881324,209
MISTER HYDE/CALVIN Z,0.032554517133956386,0.0003635258322308674,0.00033638221085796323,209
FIRELORD/PYREUS KRIL,0.032554517133956386,0.0004389414146287574,0.00042586279701038515,209
DEADPOOL/JACK/WADE W,0.032554517133956386,0.0031870971329237795,0.000637044459277398,209
COUNTERWEIGHT/JACK P,0.032398753894081,0.0006733956221531228,0.0005443347501017726,208
LIGHTSPEED/JULIE POW,0.032398753894081,0.0006733956221531228,0.0005443347501017726,208
"LUMPKIN, WILLIAM WIL",0.032398753894081,0.0003694809151286395,0.0002950871878038847,208
DEATHBIRD [SHI'AR],0.032242990654205606,0.0005121844881303742,0.0004019122741234234,207
"CORBEAU, DR. PETER",0.03208722741433022,0.00039971040269417565,0.0002967191325990782,206
WHIRLWIND/DAVID CANN,0.03193146417445483,0.00012765496264986783,0.000282201714455941,205
